url,date,Red SM,Blue SM,Red Team,Blue Team,Starting Team,Winning Team,First team won,Assassin,Team 1 words,Team 2 words,Assassin word,Neutral words,Turns->,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7662,7/7/2017,Skeletor,fhk,sackofwethammers,"Grant, Hyphen-ated",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7664,7/8/2017,NJ,Glocks For Interns,nemryn,"Mindwarped, Checkbox",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7667,7/14/2017,Juri,sackofwethammers,"Rooser, sea",Skeletor,Red,Red,1,,"LAB, SCIENTIST, BOOK, FORK, HAM, CONCERT, PASTE, DINOSAUR, BOARD)","FRANCE, SKYSCRAPER, PENGUIN, WEB, MAIL, LUCK, CHARGE, NUT, JACK",MARBLE,"MOUTH, GREECE, ARM, MOUSE, TOOTH, TAP","RESEARCH, 3 (LAB, SCIENTIST, BOOK)","EIFFEL, 3 (FRANCE, SKYSCRAPER, FORK)","RADIO, 2 (HAM, CONCERT)","LINUX, 3 (PENGUIN, WEB, MAIL","STICKER, 3 (PASTE, DINOSAUR, BOARD)",,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7670,7/15/2017,Checkbox,Kelvandil,"Mindwarped, Glocks For Interns","Monty, Jack",Red,Blue,0,,"ALPS, CHOCOLATE, BANK, MOLE, MILLIONAIRE, COVER, NURSE, BUTTON, DINOSAUR, ","PALM, PILOT, DROP, ENGINE, SHOE, DEATH, JACK, BOND",???,"POLE, AMBULANCE, MERCURY, COMIC, FIGURE, THUMB, POISON","SWISS, 3 (ALPS, CHOCOLATE, BANK)","TREE, 2 (PALM, POLE)","HEIST, 3 (MOLE, MILLIONAIRE, COVER)","B-52, 4 (PILOT, DROP, ENGINE, SHOE, DEATH)","CAESARIAN, 2 (AMBULANCE)","NAMES, 2 (JACK, BOND)",,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7668,7/15/2017,drk,Hyphen-ated,"JSexton, wrathy","Grant, fhk",Blue,Blue,1,,"IVORY, KEY, SCALE, BEIJING, SHOE, SCORPION, TAIL, ORANGE, OIL","PLATE, MUG, SINK, TEACHER, BOOK, JAM, MINT, BERLIN",JACK,"BLOCK, CANADA, FAIR, DISEASE, MICROSCOPE, SHADOW, ARM","PIANO, 3 (IVORY, KEY, SCALE)","DISHES, 3 (PLATE, MUG, SINK)","SWEATSHOP, 2 (BEIJING, SHOE)","HOMEWORK, 2 (TEACHER, BOOK)","STINGER, 2(SCORPION TAIL)","JELLY, 3 (JAM, ORANGE)","OIL, 1 (OLIVE)",,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7671,7/17/2017,nemryn,ein,NJ,"viashino, SableTip",Blue,Red,0,,"OPERA, BOOM, HEAD, MICROSCOPE, STRING, GLOVE, BOARD, TRACK, CLOAK","COLD, WAR, NUT, BELT, WEB, PLATE, WORM, RING",CIRCLE,"STAR, SERVER, TUBE, LUCK, BRUSH, ROUND, POINT","PHANTOM, 2 (OPERA)","USSR, 2 (COLD, WAR)","BOMB, 2 (BOOM)","FASTENER, 2 (NUT,)","OCCULAR, 2 (HEAD, MICROSCOPE, STRING)","FASTENER, 4 (BELT, WEB, PLATE)","WHITE, 3 (BOARD, GLOVE, STAR)","EARTH, 2 (WORM, RING)",,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7676,7/22/2017,Skeletor,Monty,sackofwethammers,"Kelvandil, Jack",Red,Red,1,,"TOKYO, CARD, GLOVE, NIGHT, DATE, ALIEN, CARROT, SLIP, WIND","SUPERHERO, TAIL, BOND, SOCK, THEATRE, MARBLE, PARACHUTE, STREAM",TURKEY,"GOLD, MARCH, NURSE, RACKET, AFRICA, WEB, DEATH","ELEMENTAL, 2 (GOLD)","WOLVERINE, 2 (SUPERHERO, TAIL)","JAPANESE, 2 (TOKYO, CARD, BOND)","PUPPET, 2 (SOCK, THEATRE)","OPERA, 4 (GLOVE, NIGHT, DATE, MARBLE)","ALTITUDE, 2 (PARACHUTE, ALIEN)","PEEL, 2 (CARROT, SLIP, WIND)",,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7679,7/25/2017,viashino,Grant,"SableTip,  ein","fhk, Hyphen-ated",Red,Blue,0,1,"PARK, AUSTRALIA, SNOW, IVORY, CAR, TABLE, WIND, PLATYPUS, DECK","HAM, LITTER, SHARK, FIRE, POISON, NINJA, DEGREE, KIWI",CIRCLE,"BRIDGE, MUG, KANGAROO, NEW YORK, MINT, CHECK, AZTEC","SOUTH, 3 (PARK, AUSTRALIA)","PIGLETS, 2 (HAM, LITTER)","WHITE, 3 (SNOW, IVORY, SHARK)","BURN, 2 (FIRE, BRIDGE)","SEAT, 3 (CAR, TABLE, WIND, CIRCLE)",,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7680,7/26/2017,Rooser,NJ,"sea, Juri",nemryn,Blue,Red,0,,"CAT, LEPRECHAUN, COMIC, AMBULANCE, CROSS, CONTRACT, PORT, TIE, ATLANTIS","BILL, BUCK, PIN, DRILL, KID, GLOVE, COVER, MERCURY",LEAD,"PILOT, CAST, BRIDGE, GOLD, PART, PASTE, PIT","FELIX, 3 (CAT, LEPRECHAUN, COMIC)","DOLLAR, 2 (BILL, BUCK)","TRANSOCEANIC, 3 (PILOT)","POKE, 4 (PIN, DRILL, KID, GLOVE)","SHYSTER, UNLIMITED (AMBULANCE, CROSS, CONTRACT, PORT, CAST)","ECLIPSE, 2 (COVER, MERCURY)",,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7686,8/2/2017,sackofwethammers,fhk,Skeletor,"Grant, Hyphen-ated",Blue,Blue,1,,"LOCH NESS, GIANT, GHOST, AZTEC, ICE CREAM, SPINE, SWITCH, DUCK, BATON","IVORY, AFRICA, LION, SHOT, TEMPLE, RACKET, LAP, LUCK",TIME,"JAM, BANK, MOUTH, JET, ROBIN, STAR, CHECK","Monster, 3 -> Loch Ness, Giant, Ghost, PASS","Poacher, 4 -> Ivory, Africa, Lion, Shot, PASS","Cocoa, 2 -> Aztec, Ice Cream, PASS","Headache, 2 -> Temple, Racket , PASS","Rod, 2 -> Spine, Switch, PASS","Dog, 2 -> Lap, Duck","BATON, 1 (MARCH)",,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7695,8/9/2017,Hyphen-ated,nemryn,"Grant, fhk",NJ,Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7710,8/22/2017,sea,Grant,"Hyphen-ated, fhk","Rooser, Juri",Blue,Blue,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7723,9/6/2017,Rooser,fhk,"Juri, sea","Grant, Hyphen-ated",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8101,6/15/2019,drk,Kelvandil,"wrathy, SableTip, sea, Jack","Hyphen-ated, fhk, viashino",Blue,Blue,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8175,8/24/2019,Glocks For Interns,drk,"sti, Skeletor",rider,Red,Blue,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8176,8/24/2019,SableTip,Kelvandil,Hyphen-ated,wrathy,Red,Blue,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8473,4/5/2020,SableTip,drk,"Kelvandil, wrathy, TheTravelling1, Skeletor","Hyphen-ated, Jack, Rooser, Glocks For Interns",Blue,Blue,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8491,4/17/2020,Skeletor,Jack,"SableTip, Kelvandil, wrathy, TheTravelling1","drk, Hyphen-ated, Rooser, Glocks For Interns",Blue,Blue,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8501,4/29/2020,wrathy,Rooser,"Skeletor, SableTip, Kelvandil, TheTravelling1","Jack, drk, Hyphen-ated, Glocks For Interns",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8532,5/18/2020,Kelvandil,Hyphen-ated,"wrathy, Skeletor, SableTip, TheTravelling1","Rooser, Jack, drk, Glocks For Interns",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8554,5/27/2020,TheTravelling1,Glocks For Interns,"wrathy, Skeletor, SableTip, Kelvandil","Rooser, drk, Hyphen-ated",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8593,6/9/2020,Hyphen-ated,sti,"Ashenai, Kelvandil, drk, wrathy","Skeletor, Glocks For Interns, TheTravelling1, SableTip",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8613,6/17/2020,Kelvandil,Glocks For Interns,"Ashenai, drk, Hyphen-ated, wrathy","Skeletor, TheTravelling1, SableTip, sti",Blue,Blue,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8626,6/24/2020,Ashenai,SableTip,"Kelvandil, drk, Hyphen-ated, wrathy","Skeletor, Glocks For Interns, TheTravelling1, sti",Red,Blue,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8638,6/29/2020,drk,Skeletor,"Ashenai, Kelvandil, Hyphen-ated, wrathy","Glocks For Interns, TheTravelling1, SableTip, sti",Blue,Red,0,1,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8640,7/2/2020,wrathy,TheTravelling1,"Ashenai, Kelvandil, drk, Hyphen-ated","Skeletor, Glocks For Interns, SableTip, sti",Red,Blue,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8664,7/9/2020,Hyphen-ated,sti,"viashino, Kelvandil","JSexton, Skeletor",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8662,7/9/2020,drk,SableTip,"Glocks For Interns, Ashenai","wrathy, TheTravelling1",Blue,Red,0,1 (fake),,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8669,7/13/2020,viashino,Glocks For Interns,"Hyphen-ated, Kelvandil","drk, Ashenai",Red,Blue,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8670,7/13/2020,wrathy,JSexton,"TheTravelling1, SableTip","Skeletor, sti",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8680,7/16/2020,Kelvandil,TheTravelling1,"Hyphen-ated, viashino","wrathy, SableTip",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8681,7/16/2020,Skeletor,Ashenai,"JSexton, sti","drk, Glocks For Interns",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8690,7/21/2020,Hyphen-ated,drk,"viashino, Kelvandil","Glocks For Interns, Ashenai",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8699,7/26/2020,viashino,Glocks For Interns,"Hyphen-ated, Kelvandil","drk, Ashenai",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8698,7/26/2020,TheTravelling1,sti,"wrathy, SableTip","JSexton, Skeletor",Red,Blue,0,1,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8710,7/30/2020,wrathy,JSexton,"TheTravelling1, SableTip","Skeletor, sti",Red,Blue,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8714,8/1/2020,Kelvandil,Ashenai,"Hyphen-ated, viashino","drk, Glocks For Interns",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8869,10/9/2020,Hyphen-ated+drk,Skeletor+viashino,"wrathy, JSexton","Glocks For Interns, Kelvandil",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8895,10/23/2020,wrathy+JSexton,Glocks For Interns+Kelvandil,"Hyphen-ated, drk","Skeletor, viashino",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8922,11/11/2020,Kelvandil+viashino,wrathy+fhk,"Hyphen-ated, Skeletor, drk","JSexton, Glocks For Interns",Blue,Red,0,1,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=8940,11/20/2020,Kelvandil+viashino,wrathy+fhk,"Hyphen-ated, Skeletor, drk","JSexton, Glocks For Interns",Red,Blue,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=9005,12/2/2020,wrathy+Skeletor,JSexton+drk,"Kelvandil, viashino, Glocks For Interns","Hyphen-ated, TheTravelling1, drk",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=9219,1/25/2021,drk,JSexton,"viashino, Seeker","Glocks For Interns, Hyphen-ated",Red,Blue,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=9216,1/25/2021,Kelvandil,viashino,"wrathy, fhk","drk, Seeker",Red,Blue,0,1,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=9218,1/25/2021,wrathy,Glocks For Interns,"Kelvandil, fhk","JSexton, Hyphen-ated",Red,Blue,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=9335,3/1/2021,Hyphen-ated,SableTip,"viashino, Glocks For Interns, Kelvandil","drk, wrathy, TheTravelling1",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?p=2083922#p2083922,3/19/2021,Kelvandil,TheTravelling1,"Hyphen-ated, viashino, Glocks For Interns","SableTip, drk, wrathy",Red,Red,1,1,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?p=2084940#p2084940,3/27/2021,viashino,drk,"Hyphen-ated, Glocks For Interns, Kelvandil","TheTravelling1, SableTip, wrathy",Blue,Blue,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=11031,3/16/2022,TheTravelling1,Kelvandil,"drk, Hyphen-ated","wrathy, viashino",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?p=2121773#p2121773,4/15/2022,drk,wrathy,"TheTravelling1, Hyphen-ated","Kelvandil, viashino",Red,Blue,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?p=2122588#p2122588,4/29/2022,Hyphen-ated,viashino,"drk, TheTravelling1","Kelvandil, wrathy",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?p=2123601#p2123601,5/23/2022,Hyphen-ated,wrathy,"Kelvandil, TheTravelling1","viashino, drk",Red,Red,1,,,,,,,,,,,,,,,